[2022-05-05 03:21:28,286][train.py][line:137][INFO] Pretrain D| [ 1300/10000] | clf_loss = 0.6692,                     acc = 0.7897
[2022-05-05 03:22:03,102][train.py][line:137][INFO] Pretrain D| [ 1400/10000] | clf_loss = 0.6545,                     acc = 0.7947
[2022-05-05 03:22:37,918][train.py][line:137][INFO] Pretrain D| [ 1500/10000] | clf_loss = 0.6234,                     acc = 0.7996
[2022-05-05 03:23:12,656][train.py][line:137][INFO] Pretrain D| [ 1600/10000] | clf_loss = 0.6234,                     acc = 0.7911
[2022-05-05 03:23:47,368][train.py][line:137][INFO] Pretrain D| [ 1700/10000] | clf_loss = 0.6089,                     acc = 0.8016
[2022-05-05 03:24:22,123][train.py][line:137][INFO] Pretrain D| [ 1800/10000] | clf_loss = 0.6092,                     acc = 0.8022
[2022-05-05 03:24:56,891][train.py][line:137][INFO] Pretrain D| [ 1900/10000] | clf_loss = 0.6097,                     acc = 0.8082
[2022-05-05 03:25:31,616][train.py][line:137][INFO] Pretrain D| [ 2000/10000] | clf_loss = 0.5737,                     acc = 0.8130
[2022-05-05 03:26:06,418][train.py][line:137][INFO] Pretrain D| [ 2100/10000] | clf_loss = 0.5711,                     acc = 0.8104
[2022-05-05 03:26:41,227][train.py][line:137][INFO] Pretrain D| [ 2200/10000] | clf_loss = 0.5852,                     acc = 0.8099
[2022-05-05 03:27:15,954][train.py][line:137][INFO] Pretrain D| [ 2300/10000] | clf_loss = 0.5784,                     acc = 0.8110
[2022-05-05 03:27:50,764][train.py][line:137][INFO] Pretrain D| [ 2400/10000] | clf_loss = 0.5834,                     acc = 0.8143
[2022-05-05 03:28:25,615][train.py][line:137][INFO] Pretrain D| [ 2500/10000] | clf_loss = 0.5793,                     acc = 0.8102
[2022-05-05 03:29:00,361][train.py][line:137][INFO] Pretrain D| [ 2600/10000] | clf_loss = 0.5573,                     acc = 0.8140
[2022-05-05 03:29:35,102][train.py][line:137][INFO] Pretrain D| [ 2700/10000] | clf_loss = 0.6133,                     acc = 0.8063
[2022-05-05 03:30:09,877][train.py][line:137][INFO] Pretrain D| [ 2800/10000] | clf_loss = 0.5677,                     acc = 0.8116
[2022-05-05 03:30:44,673][train.py][line:137][INFO] Pretrain D| [ 2900/10000] | clf_loss = 0.5536,                     acc = 0.8178
[2022-05-05 03:31:19,428][train.py][line:137][INFO] Pretrain D| [ 3000/10000] | clf_loss = 0.5532,                     acc = 0.8154
[2022-05-05 03:31:54,231][train.py][line:137][INFO] Pretrain D| [ 3100/10000] | clf_loss = 0.5448,                     acc = 0.8198
[2022-05-05 03:32:29,046][train.py][line:137][INFO] Pretrain D| [ 3200/10000] | clf_loss = 0.5287,                     acc = 0.8220
[2022-05-05 03:33:03,824][train.py][line:137][INFO] Pretrain D| [ 3300/10000] | clf_loss = 0.5471,                     acc = 0.8174
[2022-05-05 03:33:38,607][train.py][line:137][INFO] Pretrain D| [ 3400/10000] | clf_loss = 0.5339,                     acc = 0.8212
[2022-05-05 03:34:13,501][train.py][line:137][INFO] Pretrain D| [ 3500/10000] | clf_loss = 0.5335,                     acc = 0.8226
[2022-05-05 03:34:48,240][train.py][line:137][INFO] Pretrain D| [ 3600/10000] | clf_loss = 0.5533,                     acc = 0.8154
[2022-05-05 03:35:22,998][train.py][line:137][INFO] Pretrain D| [ 3700/10000] | clf_loss = 0.5286,                     acc = 0.8231
[2022-05-05 03:35:57,772][train.py][line:137][INFO] Pretrain D| [ 3800/10000] | clf_loss = 0.5336,                     acc = 0.8230
[2022-05-05 03:36:32,548][train.py][line:137][INFO] Pretrain D| [ 3900/10000] | clf_loss = 0.5156,                     acc = 0.8259
[2022-05-05 03:37:07,317][train.py][line:137][INFO] Pretrain D| [ 4000/10000] | clf_loss = 0.5295,                     acc = 0.8211
[2022-05-05 03:37:42,127][train.py][line:137][INFO] Pretrain D| [ 4100/10000] | clf_loss = 0.5320,                     acc = 0.8199
[2022-05-05 03:38:16,909][train.py][line:137][INFO] Pretrain D| [ 4200/10000] | clf_loss = 0.5249,                     acc = 0.8229
[2022-05-05 03:38:51,674][train.py][line:137][INFO] Pretrain D| [ 4300/10000] | clf_loss = 0.5410,                     acc = 0.8197
[2022-05-05 03:39:26,435][train.py][line:137][INFO] Pretrain D| [ 4400/10000] | clf_loss = 0.5224,                     acc = 0.8231
[2022-05-05 03:40:01,225][train.py][line:137][INFO] Pretrain D| [ 4500/10000] | clf_loss = 0.5284,                     acc = 0.8226
[2022-05-05 03:40:35,972][train.py][line:137][INFO] Pretrain D| [ 4600/10000] | clf_loss = 0.5319,                     acc = 0.8265
[2022-05-05 03:41:10,717][train.py][line:137][INFO] Pretrain D| [ 4700/10000] | clf_loss = 0.5371,                     acc = 0.8234
[2022-05-05 03:41:45,484][train.py][line:137][INFO] Pretrain D| [ 4800/10000] | clf_loss = 0.5172,                     acc = 0.8235
[2022-05-05 03:42:20,275][train.py][line:137][INFO] Pretrain D| [ 4900/10000] | clf_loss = 0.5340,                     acc = 0.8217
[2022-05-05 03:42:55,020][train.py][line:137][INFO] Pretrain D| [ 5000/10000] | clf_loss = 0.5185,                     acc = 0.8251
[2022-05-05 03:43:29,822][train.py][line:137][INFO] Pretrain D| [ 5100/10000] | clf_loss = 0.5255,                     acc = 0.8284
[2022-05-05 03:44:04,562][train.py][line:137][INFO] Pretrain D| [ 5200/10000] | clf_loss = 0.5027,                     acc = 0.8278
[2022-05-05 03:44:39,384][train.py][line:137][INFO] Pretrain D| [ 5300/10000] | clf_loss = 0.5000,                     acc = 0.8318
[2022-05-05 03:45:14,208][train.py][line:137][INFO] Pretrain D| [ 5400/10000] | clf_loss = 0.5133,                     acc = 0.8254
[2022-05-05 03:45:48,987][train.py][line:137][INFO] Pretrain D| [ 5500/10000] | clf_loss = 0.5067,                     acc = 0.8261
[2022-05-05 03:46:23,832][train.py][line:137][INFO] Pretrain D| [ 5600/10000] | clf_loss = 0.5205,                     acc = 0.8301
[2022-05-05 03:46:58,658][train.py][line:137][INFO] Pretrain D| [ 5700/10000] | clf_loss = 0.5114,                     acc = 0.8260
[2022-05-05 03:47:33,413][train.py][line:137][INFO] Pretrain D| [ 5800/10000] | clf_loss = 0.5110,                     acc = 0.8276
[2022-05-05 03:48:08,241][train.py][line:137][INFO] Pretrain D| [ 5900/10000] | clf_loss = 0.5043,                     acc = 0.8278
[2022-05-05 03:48:43,039][train.py][line:137][INFO] Pretrain D| [ 6000/10000] | clf_loss = 0.5098,                     acc = 0.8267
[2022-05-05 03:49:17,913][train.py][line:137][INFO] Pretrain D| [ 6100/10000] | clf_loss = 0.5122,                     acc = 0.8226
[2022-05-05 03:49:52,671][train.py][line:137][INFO] Pretrain D| [ 6200/10000] | clf_loss = 0.5103,                     acc = 0.8246
[2022-05-05 03:50:27,515][train.py][line:137][INFO] Pretrain D| [ 6300/10000] | clf_loss = 0.5143,                     acc = 0.8211
[2022-05-05 03:51:02,354][train.py][line:137][INFO] Pretrain D| [ 6400/10000] | clf_loss = 0.5208,                     acc = 0.8257
[2022-05-05 03:51:37,205][train.py][line:137][INFO] Pretrain D| [ 6500/10000] | clf_loss = 0.5194,                     acc = 0.8212
[2022-05-05 03:52:12,038][train.py][line:137][INFO] Pretrain D| [ 6600/10000] | clf_loss = 0.5167,                     acc = 0.8265
[2022-05-05 03:52:46,841][train.py][line:137][INFO] Pretrain D| [ 6700/10000] | clf_loss = 0.5110,                     acc = 0.8284
[2022-05-05 03:53:21,613][train.py][line:137][INFO] Pretrain D| [ 6800/10000] | clf_loss = 0.5310,                     acc = 0.8233
[2022-05-05 03:53:56,435][train.py][line:137][INFO] Pretrain D| [ 6900/10000] | clf_loss = 0.4979,                     acc = 0.8278
[2022-05-05 03:54:31,207][train.py][line:137][INFO] Pretrain D| [ 7000/10000] | clf_loss = 0.4834,                     acc = 0.8333
[2022-05-05 03:55:06,046][train.py][line:137][INFO] Pretrain D| [ 7100/10000] | clf_loss = 0.5177,                     acc = 0.8247
[2022-05-05 03:55:40,848][train.py][line:137][INFO] Pretrain D| [ 7200/10000] | clf_loss = 0.4998,                     acc = 0.8267
[2022-05-05 03:56:15,704][train.py][line:137][INFO] Pretrain D| [ 7300/10000] | clf_loss = 0.4997,                     acc = 0.8262
[2022-05-05 03:56:50,556][train.py][line:137][INFO] Pretrain D| [ 7400/10000] | clf_loss = 0.4994,                     acc = 0.8303
[2022-05-05 03:57:25,381][train.py][line:137][INFO] Pretrain D| [ 7500/10000] | clf_loss = 0.4984,                     acc = 0.8304
[2022-05-05 03:58:00,189][train.py][line:137][INFO] Pretrain D| [ 7600/10000] | clf_loss = 0.4985,                     acc = 0.8291
[2022-05-05 03:58:34,947][train.py][line:137][INFO] Pretrain D| [ 7700/10000] | clf_loss = 0.4925,                     acc = 0.8325
[2022-05-05 03:59:09,745][train.py][line:137][INFO] Pretrain D| [ 7800/10000] | clf_loss = 0.4843,                     acc = 0.8387
[2022-05-05 03:59:44,593][train.py][line:137][INFO] Pretrain D| [ 7900/10000] | clf_loss = 0.4939,                     acc = 0.8300
[2022-05-05 04:00:19,348][train.py][line:137][INFO] Pretrain D| [ 8000/10000] | clf_loss = 0.4758,                     acc = 0.8381
[2022-05-05 04:00:54,180][train.py][line:137][INFO] Pretrain D| [ 8100/10000] | clf_loss = 0.5090,                     acc = 0.8233
[2022-05-05 04:01:28,946][train.py][line:137][INFO] Pretrain D| [ 8200/10000] | clf_loss = 0.4901,                     acc = 0.8349
[2022-05-05 04:02:03,759][train.py][line:137][INFO] Pretrain D| [ 8300/10000] | clf_loss = 0.4942,                     acc = 0.8300
[2022-05-05 04:02:38,572][train.py][line:137][INFO] Pretrain D| [ 8400/10000] | clf_loss = 0.4986,                     acc = 0.8287
[2022-05-05 04:03:13,411][train.py][line:137][INFO] Pretrain D| [ 8500/10000] | clf_loss = 0.4897,                     acc = 0.8354
[2022-05-05 04:03:48,238][train.py][line:137][INFO] Pretrain D| [ 8600/10000] | clf_loss = 0.5035,                     acc = 0.8254
[2022-05-05 04:04:23,011][train.py][line:137][INFO] Pretrain D| [ 8700/10000] | clf_loss = 0.5041,                     acc = 0.8315
